Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts
1610561784,192.168.1.151,64237,137.110.0.69,443,17,13414,108898,39,195
1610561784,192.168.1.242,5353,224.0.0.251,5353,17,116,0,1,0
1610561784,FE80::4AF:92F7:1D5E:74BC,5353,FF02::FB,5353,17,136,0,1,0
1610561785,192.168.1.151,64237,137.110.0.69,443,17,10821,117860,28,191
1610561785,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610561785,192.168.1.1,0,224.0.0.1,0,2,28,0,1,0
1610561786,192.168.1.151,64237,137.110.0.69,443,17,13288,115789,35,198
1610561786,192.168.1.95,0,239.255.255.250,0,2,32,0,1,0
1610561786,192.168.1.95,138,192.168.1.255,138,17,242,0,1,0
1610561787,192.168.1.151,64237,137.110.0.69,443,17,8210,112220,32,191
1610561787,192.168.1.48,0,239.255.255.250,0,2,32,0,1,0
1610561787,192.168.1.220,0,224.0.0.251,0,2,32,0,1,0
1610561787,192.168.1.200,0,239.255.255.250,0,2,32,0,1,0
1610561787,192.168.1.242,5353,224.0.0.251,5353,17,116,0,1,0
1610561787,FE80::4AF:92F7:1D5E:74BC,5353,FF02::FB,5353,17,136,0,1,0
1610561788,192.168.1.151,64237,137.110.0.69,443,17,9662,111389,36,185
1610561788,192.168.1.100,0,224.0.0.251,0,2,32,0,1,0
1610561789,192.168.1.151,64237,137.110.0.69,443,17,8301,111796,25,185
1610561789,192.168.1.48,0,224.0.0.252,0,2,32,0,1,0
1610561789,192.168.1.60,9999,255.255.255.255,9999,17,57,0,1,0
1610561790,192.168.1.151,64237,137.110.0.69,443,17,9426,114818,40,204
1610561791,192.168.1.151,64237,137.110.0.69,443,17,9031,108490,29,194
1610561791,192.168.1.220,5353,224.0.0.251,5353,17,143,0,1,0
1610561791,FE80::14B8:3909:93C2:4F5C,5353,FF02::FB,5353,17,163,0,1,0
1610561791,192.168.1.164,9999,255.255.255.255,9999,17,57,0,1,0
1610561792,192.168.1.151,64237,137.110.0.69,443,17,9055,107257,36,191
1610561792,192.168.1.48,0,224.0.0.251,0,2,32,0,1,0
1610561792,192.168.1.220,5353,224.0.0.251,5353,17,143,0,1,0
1610561792,FE80::14B8:3909:93C2:4F5C,5353,FF02::FB,5353,17,163,0,1,0
1610561793,192.168.1.151,64237,137.110.0.69,443,17,14030,116909,38,213
1610561794,192.168.1.151,64237,137.110.0.69,443,17,16218,113763,40,206
1610561794,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610561794,192.168.1.95,0,224.0.0.251,0,2,32,0,1,0
1610561795,192.168.1.151,64237,137.110.0.69,443,17,16258,106696,40,201
1610561795,192.168.1.200,0,239.255.255.250,0,2,32,0,1,0
1610561795,192.168.1.220,5353,224.0.0.251,5353,17,143,0,1,0
1610561795,FE80::14B8:3909:93C2:4F5C,5353,FF02::FB,5353,17,163,0,1,0
1610561795,192.168.1.219,5353,224.0.0.251,5353,17,143,0,1,0
1610561795,FE80::403:9A25:E9EE:DBCA,5353,FF02::FB,5353,17,163,0,1,0
1610561795,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610561795,192.168.1.100,0,239.255.255.250,0,2,32,0,1,0
1610561796,192.168.1.151,64237,137.110.0.69,443,17,13303,111573,35,193
1610561796,192.168.1.219,5353,224.0.0.251,5353,17,143,0,1,0
1610561796,FE80::403:9A25:E9EE:DBCA,5353,FF02::FB,5353,17,163,0,1,0
1610561796,192.168.1.67,5353,224.0.0.251,5353,17,308,0,2,0
1610561796,FE80::1826:BD5:C84F:4617,5353,FF02::FB,5353,17,348,0,2,0
1610561797,192.168.1.151,64237,137.110.0.69,443,17,17171,107033,40,193
1610561797,192.168.1.67,5353,224.0.0.251,5353,17,824,0,4,0
1610561797,FE80::1826:BD5:C84F:4617,5353,FF02::FB,5353,17,904,0,4,0
1610561798,192.168.1.151,64237,137.110.0.69,443,17,12678,95702,38,169
1610561798,192.168.1.200,0,239.255.255.250,0,2,32,0,1,0
1610561798,192.168.1.67,5353,224.0.0.251,5353,17,339,0,1,0
1610561798,FE80::1826:BD5:C84F:4617,5353,FF02::FB,5353,17,359,0,1,0
1610561799,192.168.1.151,64237,137.110.0.69,443,17,15704,92951,39,171
1610561799,192.168.1.151,60185,137.110.0.69,443,6,117,117,2,2
1610561799,192.168.1.67,5353,224.0.0.251,5353,17,376,0,1,0
