Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts
1610179908,192.168.1.151,49652,137.110.0.70,443,17,49380,1416824,450,1043
1610179909,192.168.1.151,49652,137.110.0.70,443,17,2826,18508,13,21
1610179910,192.168.1.151,49652,137.110.0.70,443,17,61379,1378188,551,1022
1610179911,192.168.1.151,49652,137.110.0.70,443,17,4377,6318,15,13
1610179912,192.168.1.151,49652,137.110.0.70,443,17,43273,1192651,383,882
1610179913,192.168.1.151,49652,137.110.0.70,443,17,5516,22127,22,28
1610179914,192.168.1.151,49652,137.110.0.70,443,17,67098,1615959,633,1192
1610179915,192.168.1.151,49652,137.110.0.70,443,17,5018,19719,20,24
1610179916,192.168.1.151,49652,137.110.0.70,443,17,58300,1421484,550,1050
1610179917,192.168.1.151,49652,137.110.0.70,443,17,4952,18882,19,24
1610179918,192.168.1.151,49652,137.110.0.70,443,17,54699,1243541,504,930
1610179919,192.168.1.151,49652,137.110.0.70,443,17,4771,18541,18,22
1610179920,192.168.1.151,49652,137.110.0.70,443,17,78537,2156098,717,1592
1610179920,192.168.1.151,50633,137.110.0.70,443,6,77,40,1,1
1610179921,192.168.1.151,49652,137.110.0.70,443,17,5831,84502,28,73
1610179922,192.168.1.151,49652,137.110.0.70,443,17,57397,1291611,520,956
1610179922,192.168.1.95,137,192.168.1.255,137,17,78,0,1,0
1610179922,192.168.1.164,9999,255.255.255.255,9999,17,57,0,1,0
1610179923,192.168.1.151,49652,137.110.0.70,443,17,8997,145785,55,118
1610179924,192.168.1.151,49652,137.110.0.70,443,17,51622,1162685,487,856
1610179925,192.168.1.151,49652,137.110.0.70,443,17,11008,245668,75,192
1610179926,192.168.1.151,49652,137.110.0.70,443,17,44847,1175894,410,872
1610179927,192.168.1.151,49652,137.110.0.70,443,17,12721,275438,93,213
1610179927,FE80::5AEF:68FF:FE42:A0DA,0,FF02::1,0,58,152,0,1,0
1610179928,192.168.1.151,49652,137.110.0.70,443,17,60911,1064843,475,800
1610179928,192.168.1.60,5353,224.0.0.251,5353,17,853,0,5,0
1610179928,192.168.1.17,5353,224.0.0.251,5353,17,599,0,4,0
1610179928,192.168.1.164,5353,224.0.0.251,5353,17,322,0,2,0
1610179929,192.168.1.17,5353,224.0.0.251,5353,17,934,0,4,0
1610179929,192.168.1.164,5353,224.0.0.251,5353,17,854,0,6,0
1610179929,192.168.1.60,5353,224.0.0.251,5353,17,680,0,3,0
1610179929,192.168.1.151,49652,137.110.0.70,443,17,13849,306505,94,236
1610179930,192.168.1.151,49652,137.110.0.70,443,17,50244,1246955,474,919
1610179930,192.168.1.1,39515,239.255.255.250,1900,17,1440,0,3,0
1610179930,192.168.1.1,55280,239.255.255.250,1900,17,517,0,1,0
