Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1610921024,192.168.1.10,5353,224.0.0.251,5353,17,1200,0,3,0,1610921024085;1610921024335;1610921024436;,272;524;404;,1;1;1;
1610921024,FE80::217:88FF:FE79:5FC7,5353,FF02::FB,5353,17,1260,0,3,0,1610921024085;1610921024335;1610921024436;,292;544;424;,1;1;1;
1610921025,192.168.1.10,5353,224.0.0.251,5353,17,524,0,1,0,1610921025335;,524;,1;
1610921025,FE80::217:88FF:FE79:5FC7,5353,FF02::FB,5353,17,544,0,1,0,1610921025336;,544;,1;
1610921025,192.168.1.159,56987,137.110.0.69,443,17,106,146,1,1,1610921025706;1610921025706;,146;106;,2;1;
1610921026,192.168.1.10,5353,224.0.0.251,5353,17,871,0,1,0,1610921026439;,871;,1;
1610921026,FE80::217:88FF:FE79:5FC7,5353,FF02::FB,5353,17,891,0,1,0,1610921026439;,891;,1;
1610921027,192.168.1.157,9999,255.255.255.255,9999,17,57,0,1,0,1610921027358;,57;,1;
1610921027,192.168.1.159,56987,137.110.0.69,443,17,212,285,2,2,1610921027503;1610921027503;1610921027521;1610921027521;,179;106;106;106;,2;1;2;1;
