Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1610407006,192.168.1.10,5353,224.0.0.251,5353,17,928,0,2,0,1610407006076;1610407006976;,404;524;,1;1;
1610407006,FE80::217:88FF:FE79:5FC7,5353,FF02::FB,5353,17,968,0,2,0,1610407006076;1610407006976;,424;544;,1;1;
1610407006,192.168.1.159,59000,137.110.0.69,443,17,205,106,1,1,1610407006877;1610407006895;,205;106;,1;2;
