Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1613361987,192.168.1.159,54788,137.110.0.69,443,17,34950,588824,326,441,1613361987195;1613361987195;1613361987195;1613361987195;1613361987196;1613361987196;1613361987197;1613361987198;1613361987198;1613361987200;1613361987200;1613361987200;1613361987202;1613361987202;1613361987202;1613361987212;1613361987212;1613361987212;1613361987213;1613361987213;1613361987213;1613361987218;1613361987218;1613361987218;1613361987219;1613361987219;1613361987219;1613361987220;1613361987220;1613361987220;1613361987221;1613361987222;1613361987222;1613361987222;1613361987223;1613361987223;1613361987224;1613361987224;1613361987224;1613361987225;1613361987225;1613361987225;1613361987226;1613361987226;1613361987226;1613361987230;1613361987230;1613361987231;1613361987231;1613361987231;1613361987231;1613361987235;1613361987236;1613361987236;1613361987236;1613361987236;1613361987236;1613361987237;1613361987237;1613361987237;1613361987238;1613361987238;1613361987238;1613361987241;1613361987241;1613361987241;1613361987241;1613361987242;1613361987242;1613361987242;1613361987242;1613361987242;1613361987243;1613361987243;1613361987243;1613361987243;1613361987244;1613361987244;1613361987244;1613361987244;1613361987244;1613361987245;1613361987245;1613361987245;1613361987245;1613361987247;1613361987247;1613361987247;1613361987247;1613361987248;1613361987248;1613361987248;1613361987248;1613361987248;1613361987248;1613361987248;1613361987249;1613361987249;1613361987249;1613361987249;1613361987250;1613361987250;1613361987250;1613361987250;1613361987250;1613361987252;1613361987252;1613361987252;1613361987253;1613361987253;1613361987253;1613361987253;1613361987253;1613361987253;1613361987253;1613361987257;1613361987257;1613361987257;1613361987257;1613361987257;1613361987257;1613361987258;1613361987258;1613361987258;1613361987258;1613361987258;1613361987258;1613361987258;1613361987258;1613361987259;1613361987259;1613361987259;1613361987259;1613361987259;1613361987259;1613361987259;1613361987260;1613361987260;1613361987260;1613361987263;1613361987263;1613361987263;1613361987263;1613361987263;1613361987263;1613361987263;1613361987263;1613361987263;1613361987263;1613361987263;1613361987263;1613361987263;1613361987263;1613361987263;1613361987264;1613361987264;1613361987264;1613361987264;1613361987264;1613361987264;1613361987264;1613361987265;1613361987265;1613361987265;1613361987265;1613361987265;1613361987265;1613361987265;1613361987265;1613361987265;1613361987265;1613361987266;1613361987266;1613361987266;1613361987266;1613361987266;1613361987266;1613361987266;1613361987266;1613361987266;1613361987268;1613361987268;1613361987268;1613361987268;1613361987269;1613361987269;1613361987269;1613361987269;1613361987269;1613361987269;1613361987269;1613361987269;1613361987269;1613361987269;1613361987269;1613361987269;1613361987269;1613361987269;1613361987270;1613361987270;1613361987270;1613361987270;1613361987270;1613361987270;1613361987270;1613361987270;1613361987270;1613361987270;1613361987270;1613361987271;1613361987271;1613361987271;1613361987271;1613361987271;1613361987271;1613361987271;1613361987271;1613361987271;1613361987271;1613361987271;1613361987271;1613361987271;1613361987272;1613361987272;1613361987272;1613361987274;1613361987274;1613361987274;1613361987274;1613361987274;1613361987274;1613361987275;1613361987275;1613361987275;1613361987275;1613361987275;1613361987275;1613361987275;1613361987275;1613361987275;1613361987275;1613361987275;1613361987275;1613361987280;1613361987280;1613361987280;1613361987280;1613361987280;1613361987280;1613361987280;1613361987281;1613361987281;1613361987281;1613361987281;1613361987281;1613361987281;1613361987281;1613361987281;1613361987281;1613361987281;1613361987281;1613361987282;1613361987282;1613361987282;1613361987282;1613361987282;1613361987282;1613361987282;1613361987282;1613361987282;1613361987282;1613361987282;1613361987282;1613361987283;1613361987283;1613361987283;1613361987283;1613361987283;1613361987283;1613361987283;1613361987297;1613361987297;1613361987297;1613361987297;1613361987297;1613361987297;1613361987297;1613361987297;1613361987297;1613361987297;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987298;1613361987299;1613361987299;1613361987299;1613361987299;1613361987299;1613361987299;1613361987552;1613361987558;1613361987558;1613361987558;1613361987558;1613361987558;1613361987558;1613361987558;1613361987558;1613361987558;1613361987558;1613361987558;1613361987558;1613361987558;1613361987558;1613361987558;1613361987558;1613361987558;1613361987558;1613361987558;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987559;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987560;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987561;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987562;1613361987563;1613361987563;1613361987563;1613361987563;1613361987563;1613361987563;1613361987563;1613361987563;1613361987563;1613361987563;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987564;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987565;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987566;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987567;1613361987568;1613361987568;1613361987568;1613361987568;1613361987568;1613361987568;1613361987568;1613361987568;1613361987568;1613361987568;1613361987573;1613361987573;1613361987574;1613361987574;1613361987574;1613361987574;1613361987595;1613361987595;,971;1140;106;1344;1344;106;1366;1322;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;1366;106;1366;106;1366;1366;106;1366;1366;1366;106;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;1366;106;1366;106;1366;1366;106;1366;1366;1366;1366;1366;106;106;1366;1366;106;1366;106;1366;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;1366;1366;106;106;1366;106;1366;1366;1366;106;1366;1366;1366;106;106;1366;1366;106;1366;1366;1366;1366;106;106;1366;1366;106;1366;1366;1366;106;1366;106;1366;1366;1366;106;1366;1366;106;1366;1366;1366;1366;1366;106;106;106;1366;1366;106;1366;1366;106;1366;1366;1366;1366;106;106;1366;1366;106;1366;1366;1366;1366;106;106;1366;1366;1366;1366;106;106;1366;1366;106;1366;1366;106;1366;1366;106;1366;1366;1366;1366;1366;1366;1366;106;106;1366;106;106;1366;1366;1366;106;1366;1366;1366;1366;106;106;1366;1366;1366;1366;1366;106;106;106;1366;1366;1366;106;1366;1366;1366;1366;106;106;1366;106;1366;1366;106;1366;1366;1366;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1177;1366;275;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;327;250;129;106;1366;1366;1366;1366;1366;1366;1366;733;106;106;106;106;106;106;106;106;1366;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;106;106;106;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;1366;1366;1366;1366;106;1366;106;106;106;106;106;106;1366;1366;1366;1366;1366;1366;1366;1366;106;1366;1366;106;106;106;106;106;106;1366;1366;1366;1366;106;106;1366;106;106;1366;1366;1366;106;106;106;106;1366;862;106;1366;1366;106;106;106;106;1366;1366;1366;106;106;1366;106;106;106;1366;106;106;1366;1366;106;106;1366;1366;106;1366;1366;106;106;106;106;106;1366;1366;1366;106;106;1366;1366;106;106;106;106;106;106;1366;1366;1366;1366;106;106;106;106;106;106;106;1366;1366;1366;1366;1366;106;106;106;106;106;106;106;1366;1366;1366;1366;1366;106;106;106;106;106;106;106;1366;1366;1089;1366;1366;106;106;106;106;106;106;106;1366;1366;106;106;106;106;106;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;106;106;1366;1366;1366;1366;1366;1366;1366;1366;106;106;106;106;106;1366;1366;106;1366;1366;1366;106;106;106;106;106;106;1366;106;106;1366;1366;1366;106;1366;1366;106;1366;1366;1366;106;106;106;106;106;106;1366;213;1366;368;106;1366;1366;1366;106;106;106;106;106;106;106;106;1366;1366;106;1366;1366;1366;106;1366;1366;106;106;1366;1366;1366;1366;1366;1366;1366;106;1366;1366;1366;106;106;1366;1366;1366;1366;1366;1366;106;1366;1366;1366;106;106;106;106;106;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;1366;1366;1366;106;106;106;1366;1366;1366;106;1366;106;106;106;106;106;1366;1366;1366;106;106;106;1366;1366;106;106;106;106;106;106;106;1366;1366;1366;1366;106;1366;1366;106;1366;106;1366;1366;106;1366;106;1366;106;1366;106;106;1366;1366;106;106;106;106;106;106;1366;456;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106;141;279;222;1366;106;195;141;106;,2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;2;1;2;1;2;2;1;2;2;2;1;2;1;2;2;1;2;2;1;2;2;1;2;2;2;1;2;1;2;2;1;2;2;2;2;2;1;1;2;2;1;2;1;2;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;1;2;2;2;2;1;1;2;1;2;2;2;1;2;2;2;1;1;2;2;1;2;2;2;2;1;1;2;2;1;2;2;2;1;2;1;2;2;2;1;2;2;1;2;2;2;2;2;1;1;1;2;2;1;2;2;1;2;2;2;2;1;1;2;2;1;2;2;2;2;1;1;2;2;2;2;1;1;2;2;1;2;2;1;2;2;1;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;1;1;2;1;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;2;2;1;1;1;1;1;1;2;2;2;2;1;1;2;1;1;2;2;2;1;1;1;1;2;2;1;2;2;1;1;1;1;2;2;2;1;1;2;1;1;1;2;1;1;2;2;1;1;2;2;1;2;2;1;1;1;1;1;2;2;2;1;1;2;2;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;2;2;2;2;2;1;1;1;1;1;1;1;2;2;2;2;2;1;1;1;1;1;1;1;2;2;2;2;2;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;1;2;2;2;1;1;1;1;1;1;2;1;1;2;2;2;1;2;2;1;2;2;2;1;1;1;1;1;1;2;2;2;2;1;2;2;2;1;1;1;1;1;1;1;1;2;2;1;2;2;2;1;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;1;1;2;2;2;2;2;2;1;2;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;2;2;2;1;2;1;1;1;1;1;2;2;2;1;1;1;2;2;1;1;1;1;1;1;1;2;2;2;2;1;2;2;1;2;1;2;2;1;2;1;2;1;2;1;1;2;2;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;2;1;
1613361988,192.168.1.159,54788,137.110.0.69,443,17,3049,37876,24,41,1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988088;1613361988089;1613361988089;1613361988089;1613361988089;1613361988089;1613361988089;1613361988089;1613361988089;1613361988089;1613361988089;1613361988089;1613361988089;1613361988092;1613361988112;1613361988155;1613361988583;1613361988603;1613361988603;1613361988604;1613361988611;1613361988663;1613361988898;1613361988918;1613361988931;1613361988934;1613361988957;1613361988961;1613361988999;1613361988999;,254;129;106;1366;368;1366;1366;1366;106;106;1366;513;1366;368;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;106;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;566;106;1366;268;106;106;106;106;106;106;106;106;106;278;141;106;351;141;192;106;178;106;162;106;126;138;106;136;134;106;,2;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;2;1;1;2;2;1;2;2;2;1;
1613361988,192.168.1.159,55994,137.110.0.69,443,6,194,157,3,3,1613361988314;1613361988314;1613361988331;1613361988331;1613361988331;1613361988377;,77;77;40;40;77;40;,1;1;2;2;2;1;
1613361989,192.168.1.159,54788,137.110.0.69,443,17,3097,3245,11,11,1613361989030;1613361989030;1613361989030;1613361989054;1613361989054;1613361989108;1613361989125;1613361989126;1613361989144;1613361989168;1613361989185;1613361989230;1613361989230;1613361989247;1613361989613;1613361989632;1613361989633;1613361989633;1613361989633;1613361989633;1613361989633;1613361989940;,181;1366;424;106;141;106;562;162;106;106;136;107;106;118;327;141;246;106;1366;197;106;126;,1;1;1;2;2;1;2;1;2;1;2;1;1;2;1;2;2;1;2;2;1;2;
1613361989,192.168.1.109,5353,224.0.0.251,5353,17,122,0,1,0,1613361989246;,122;,1;
1613361989,192.168.1.157,5353,224.0.0.251,5353,17,407,0,1,0,1613361989317;,407;,1;
1613361990,192.168.1.159,54788,137.110.0.69,443,17,15305,266024,112,213,1613361990067;1613361990215;1613361990215;1613361990215;1613361990236;1613361990236;1613361990239;1613361990278;1613361990284;1613361990449;1613361990449;1613361990449;1613361990568;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990569;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990570;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990571;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990572;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990573;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990574;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990575;1613361990576;1613361990576;1613361990576;1613361990576;1613361990576;1613361990576;1613361990576;1613361990576;1613361990576;1613361990576;1613361990576;1613361990576;1613361990576;1613361990576;1613361990581;1613361990601;1613361990642;1613361990674;1613361990675;1613361990675;1613361990826;1613361990826;1613361990826;1613361990843;1613361990843;1613361990849;1613361990893;1613361990925;1613361990926;1613361990926;1613361990927;1613361990947;1613361990989;,126;176;1366;166;106;141;126;106;106;433;138;106;250;129;1366;368;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;1366;1366;1366;106;1366;1366;106;1366;106;106;106;106;1366;1366;1366;1366;1366;1366;1366;106;106;1366;1366;928;1366;106;106;1366;1366;1366;106;1366;1366;106;1366;1366;1366;1366;106;106;1366;1366;1366;1366;106;106;106;106;1366;1366;1366;106;106;106;106;1366;1366;1366;1366;1366;1366;1366;106;106;106;106;1366;1366;1366;1366;1366;1366;1366;106;106;106;106;106;1366;1366;1366;1366;106;1366;106;106;106;106;1366;1366;1366;1366;1366;1366;1366;106;106;106;106;1366;1366;1366;1366;1366;790;106;106;1366;1366;1366;1366;106;106;1366;1366;1366;106;106;106;106;1366;1366;1366;1366;1366;1366;106;1366;1366;106;1366;1366;1366;106;106;106;106;1366;1366;1366;106;106;106;106;1366;1366;1366;1366;1366;106;1366;1366;1366;106;106;106;106;1366;1366;1366;1366;106;106;1366;1366;1366;1366;1366;106;106;106;106;106;1366;1366;1366;1366;1366;1366;1366;1366;106;106;106;106;1366;1366;1366;1366;1366;1366;1366;1366;106;1366;1366;1366;1366;1366;106;1366;1366;1366;1366;106;106;106;106;1366;1366;1366;1366;106;106;1366;1366;1366;1366;106;1366;1366;106;106;106;1366;1366;1366;106;1366;1366;106;106;106;1366;1366;1366;1366;106;106;1366;1366;1366;1366;1366;1366;106;106;1366;1074;106;106;279;141;352;141;192;106;181;1366;342;106;141;106;106;562;138;106;159;106;136;,2;1;1;1;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;1;2;1;1;1;1;2;2;2;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;1;2;2;1;2;2;2;2;1;1;2;2;2;2;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;1;2;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;1;1;2;2;2;2;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;1;2;2;1;2;2;2;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;2;1;2;2;2;1;1;1;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;1;2;2;2;2;1;1;2;2;2;2;1;2;2;1;1;1;2;2;2;1;2;2;1;1;1;2;2;2;2;1;1;2;2;2;2;2;2;1;1;2;2;1;1;1;2;1;2;2;1;1;1;1;2;2;2;1;2;2;1;1;2;2;
1613361990,192.168.1.107,5353,224.0.0.251,5353,17,122,0,1,0,1613361990505;,122;,1;
1613361990,192.168.1.157,5353,224.0.0.251,5353,17,407,0,1,0,1613361990545;,407;,1;
1613361991,192.168.1.159,54788,137.110.0.69,443,17,2619,38068,21,36,1613361991034;1613361991238;1613361991238;1613361991238;1613361991238;1613361991238;1613361991238;1613361991238;1613361991238;1613361991238;1613361991238;1613361991238;1613361991238;1613361991238;1613361991238;1613361991238;1613361991238;1613361991238;1613361991238;1613361991238;1613361991238;1613361991238;1613361991239;1613361991239;1613361991239;1613361991239;1613361991239;1613361991239;1613361991239;1613361991239;1613361991239;1613361991239;1613361991239;1613361991239;1613361991239;1613361991239;1613361991239;1613361991239;1613361991239;1613361991239;1613361991239;1613361991239;1613361991239;1613361991239;1613361991239;1613361991239;1613361991242;1613361991262;1613361991305;1613361991682;1613361991703;1613361991703;1613361991703;1613361991703;1613361991703;1613361991703;1613361991949;,106;254;129;106;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;106;106;106;106;106;106;106;1366;754;1366;1366;1366;1366;1366;1366;1366;1366;326;1366;268;106;106;106;106;106;106;106;278;141;106;327;141;214;106;1366;199;106;126;,1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;1;1;2;2;1;2;2;1;2;
