Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts
1610176597,192.168.1.151,49652,137.110.0.70,443,17,8029,26008,28,38
1610176597,192.168.1.23,50408,239.255.255.250,1900,17,153,0,1,0
1610176597,FE80::5AEF:68FF:FE42:A0DA,0,FF02::1,0,58,152,0,1,0
1610176597,192.168.1.67,5353,224.0.0.251,5353,17,143,0,1,0
1610176597,FE80::1C9C:E39F:43FE:DE21,5353,FF02::FB,5353,17,163,0,1,0
1610176598,192.168.1.151,49652,137.110.0.70,443,17,61198,1511166,562,1116
1610176599,192.168.1.151,49652,137.110.0.70,443,17,45752,1193948,364,884
1610176600,192.168.1.151,49652,137.110.0.70,443,17,11254,253247,88,198
1610176600,192.168.1.67,5353,224.0.0.251,5353,17,629,0,1,0
1610176600,FE80::1C9C:E39F:43FE:DE21,5353,FF02::FB,5353,17,649,0,1,0
1610176601,192.168.1.151,49652,137.110.0.70,443,17,47919,1289833,422,961
1610176602,192.168.1.151,49652,137.110.0.70,443,17,5360,3966,45,12
1610176603,192.168.1.151,49652,137.110.0.70,443,17,48340,1310223,426,968
1610176603,192.168.1.60,9999,255.255.255.255,9999,17,57,0,1,0
1610176604,192.168.1.151,49652,137.110.0.70,443,17,12731,12473,98,30
1610176605,192.168.1.151,49652,137.110.0.70,443,17,44935,1195975,395,886
1610176606,192.168.1.151,49652,137.110.0.70,443,17,14734,31441,139,26
1610176606,192.168.1.67,5353,224.0.0.251,5353,17,143,0,1,0
1610176606,FE80::1C9C:E39F:43FE:DE21,5353,FF02::FB,5353,17,163,0,1,0
1610176607,192.168.1.151,49652,137.110.0.70,443,17,43779,1187309,386,877
1610176607,192.168.1.67,5353,224.0.0.251,5353,17,178,0,1,0
1610176607,FE80::1C9C:E39F:43FE:DE21,5353,FF02::FB,5353,17,198,0,1,0
1610176608,192.168.1.151,49652,137.110.0.70,443,17,19169,144571,175,117
1610176608,192.168.1.95,137,192.168.1.255,137,17,78,0,1,0
1610176608,192.168.1.67,5353,224.0.0.251,5353,17,817,0,3,0
1610176608,FE80::1C9C:E39F:43FE:DE21,5353,FF02::FB,5353,17,877,0,3,0
1610176609,192.168.1.151,49652,137.110.0.70,443,17,34995,780790,300,586
1610176609,192.168.1.67,5353,224.0.0.251,5353,17,1485,0,6,0
1610176609,FE80::1C9C:E39F:43FE:DE21,5353,FF02::FB,5353,17,1605,0,6,0
1610176609,192.168.1.1,0,224.0.0.251,0,2,28,0,1,0
1610176609,FE80::1C9C:E39F:43FE:DE21,0,FF02::16,0,0,76,0,1,0
1610176610,192.168.1.151,49652,137.110.0.70,443,17,44521,1207332,420,892
1610176610,192.168.1.67,5353,224.0.0.251,5353,17,181,0,1,0
1610176610,FE80::1C9C:E39F:43FE:DE21,5353,FF02::FB,5353,17,201,0,1,0
1610176611,192.168.1.151,49652,137.110.0.70,443,17,43461,1194333,383,886
