Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts
1610266169,192.168.1.151,49662,137.110.0.69,443,17,4812,13767,15,18
1610266169,192.168.1.208,5353,224.0.0.251,5353,17,167,0,1,0
1610266169,FE80::1818:D95:C0E6:EEC6,5353,FF02::FB,5353,17,187,0,1,0
1610266170,192.168.1.151,49662,137.110.0.69,443,17,60249,1240224,496,926
1610266171,192.168.1.151,49662,137.110.0.69,443,17,6374,14695,21,27
1610266172,192.168.1.151,49662,137.110.0.69,443,17,4293,19271,20,30
1610266173,192.168.1.151,49662,137.110.0.69,443,17,12963,15879,26,30
1610266173,192.168.1.151,52738,137.110.0.69,443,6,154,157,2,3
1610266174,192.168.1.151,52738,137.110.0.69,443,6,40,0,1,0
1610266174,192.168.1.151,49662,137.110.0.69,443,17,61166,1546016,550,1142
1610266174,192.168.1.1,5353,224.0.0.251,5353,17,242,0,1,0
1610266175,192.168.1.151,49662,137.110.0.69,443,17,5254,10141,13,13
1610266176,192.168.1.151,49662,137.110.0.69,443,17,13100,13320,26,25
1610266177,192.168.1.151,49662,137.110.0.69,443,17,2295,10626,8,11
1610266177,192.168.1.1,0,224.0.0.251,0,2,28,0,1,0
1610266177,192.168.1.171,5353,224.0.0.251,5353,17,140,0,1,0
1610266177,FE80::CF5:693A:BCBB:A4DA,5353,FF02::FB,5353,17,160,0,1,0
1610266178,192.168.1.151,49662,137.110.0.69,443,17,42457,1185369,371,873
1610266179,192.168.1.151,49662,137.110.0.69,443,17,530,1747,5,4
1610266180,192.168.1.151,49662,137.110.0.69,443,17,2989,11352,13,17
1610266181,192.168.1.151,49662,137.110.0.69,443,17,3981,13018,21,27
1610266182,192.168.1.171,5353,224.0.0.251,5353,17,140,0,1,0
1610266182,FE80::CF5:693A:BCBB:A4DA,5353,FF02::FB,5353,17,160,0,1,0
1610266182,192.168.1.151,49662,137.110.0.69,443,17,2519,11356,10,13
1610266183,192.168.1.151,49662,137.110.0.69,443,17,53508,1504240,475,1108
1610266184,192.168.1.164,5353,224.0.0.251,5353,17,7272,0,48,0
1610266184,192.168.1.17,5353,224.0.0.251,5353,17,5812,0,31,0
1610266184,192.168.1.60,5353,224.0.0.251,5353,17,5229,0,28,0
1610266184,192.168.1.151,49662,137.110.0.69,443,17,3153,9495,14,14
1610266185,192.168.1.151,49662,137.110.0.69,443,17,41704,1012172,378,748
1610266186,192.168.1.151,49662,137.110.0.69,443,17,6964,1687,11,7
1610266187,192.168.1.151,49662,137.110.0.69,443,17,1540,3299,8,11
1610266187,192.168.1.60,9999,255.255.255.255,9999,17,57,0,1,0
1610266188,192.168.1.151,49662,137.110.0.69,443,17,47200,1173087,397,868
1610266189,192.168.1.151,49662,137.110.0.69,443,17,424,1616,4,5
1610266190,192.168.1.151,49662,137.110.0.69,443,17,318,1845,3,4
1610266191,192.168.1.171,5353,224.0.0.251,5353,17,140,0,1,0
1610266191,FE80::CF5:693A:BCBB:A4DA,5353,FF02::FB,5353,17,160,0,1,0
1610266191,192.168.1.151,49662,137.110.0.69,443,17,2882,9328,16,18
1610266192,192.168.1.151,49662,137.110.0.69,443,17,38378,890747,335,662
1610266193,192.168.1.151,49662,137.110.0.69,443,17,936,1207,6,3
1610266194,192.168.1.151,49662,137.110.0.69,443,17,106,430,1,1
1610266195,192.168.1.151,49662,137.110.0.69,443,17,695,2001,6,5
1610266196,192.168.1.151,49662,137.110.0.69,443,17,52368,1236608,467,910
1610266197,192.168.1.151,49662,137.110.0.69,443,17,424,1393,4,3
1610266198,192.168.1.151,49662,137.110.0.69,443,17,477,475,2,1
1610266199,192.168.1.151,49662,137.110.0.69,443,17,50444,1412978,444,1046
1610266200,192.168.1.151,49662,137.110.0.69,443,17,424,2253,4,5
1610266201,192.168.1.151,49662,137.110.0.69,443,17,424,2216,4,6
1610266202,192.168.1.151,49662,137.110.0.69,443,17,1084,1663,6,8
1610266203,192.168.1.151,49662,137.110.0.69,443,17,65910,1645808,580,1217
1610266203,192.168.1.151,52738,137.110.0.69,443,6,77,0,1,0
1610266204,192.168.1.151,52738,137.110.0.69,443,6,0,40,0,1
1610266204,FE80::5AEF:68FF:FE42:A0DA,0,FF02::1,0,58,152,0,1,0
1610266204,192.168.1.151,49662,137.110.0.69,443,17,318,1942,3,4
1610266205,192.168.1.151,49662,137.110.0.69,443,17,318,1400,3,3
1610266206,192.168.1.151,49662,137.110.0.69,443,17,50837,1190071,432,891
1610266206,192.168.1.1,5353,224.0.0.251,5353,17,242,0,1,0
1610266207,192.168.1.151,49662,137.110.0.69,443,17,1344,2058,7,8
1610266208,192.168.1.151,49662,137.110.0.69,443,17,583,652,3,2
1610266209,192.168.1.151,49662,137.110.0.69,443,17,3082,922,6,4
1610266209,192.168.1.95,5353,224.0.0.251,5353,17,69,0,1,0
1610266209,192.168.1.1,5353,224.0.0.251,5353,17,108,0,1,0
1610266210,192.168.1.151,49662,137.110.0.69,443,17,3519,15042,18,24
1610266211,192.168.1.151,49662,137.110.0.69,443,17,50027,1189804,422,880
1610266212,192.168.1.151,49662,137.110.0.69,443,17,743,3384,7,8
1610266213,192.168.1.151,49662,137.110.0.69,443,17,477,741,2,2
1610266213,192.168.1.164,9999,255.255.255.255,9999,17,57,0,1,0
1610266214,192.168.1.151,49662,137.110.0.69,443,17,2614,10766,11,12
1610266215,192.168.1.151,49662,137.110.0.69,443,17,48983,1171900,433,865
1610266216,192.168.1.151,49662,137.110.0.69,443,17,3026,1372,6,6
1610266217,192.168.1.151,49662,137.110.0.69,443,17,1145,1269,5,7
1610266217,0.0.0.0,68,255.255.255.255,67,17,328,0,1,0
1610266217,FE80::5AEF:68FF:FE42:A0DA,0,FF02::1,0,58,152,0,1,0
1610266217,FE80::1853:B8CD:DF48:9FE8,0,FF02::16,0,0,116,0,1,0
1610266217,192.168.1.168,5353,224.0.0.251,5353,17,143,0,1,0
1610266217,FE80::1853:B8CD:DF48:9FE8,5353,FF02::FB,5353,17,163,0,1,0
1610266218,192.168.1.151,49662,137.110.0.69,443,17,6088,13150,16,21
1610266218,192.168.1.171,5353,224.0.0.251,5353,17,140,0,1,0
1610266218,FE80::CF5:693A:BCBB:A4DA,5353,FF02::FB,5353,17,160,0,1,0
1610266218,192.168.1.219,5353,224.0.0.251,5353,17,143,0,1,0
1610266218,FE80::403:9A25:E9EE:DBCA,5353,FF02::FB,5353,17,163,0,1,0
1610266218,FE80::1853:B8CD:DF48:9FE8,0,FF02::16,0,0,96,0,1,0
1610266218,192.168.1.168,5353,224.0.0.251,5353,17,106,0,1,0
1610266218,FE80::1853:B8CD:DF48:9FE8,5353,FF02::FB,5353,17,126,0,1,0
1610266219,192.168.1.219,0,224.0.0.251,0,2,32,0,1,0
1610266219,192.168.1.219,5353,224.0.0.251,5353,17,116,0,1,0
1610266219,FE80::403:9A25:E9EE:DBCA,5353,FF02::FB,5353,17,136,0,1,0
1610266219,192.168.1.151,49662,137.110.0.69,443,17,46514,1300704,388,957
1610266219,192.168.1.95,137,192.168.1.255,137,17,78,0,1,0
1610266219,FE80::1853:B8CD:DF48:9FE8,0,FF02::16,0,0,96,0,1,0
1610266220,192.168.1.151,49662,137.110.0.69,443,17,1763,3289,7,8
1610266220,FE80::1853:B8CD:DF48:9FE8,0,FF02::16,0,0,96,0,1,0
1610266221,192.168.1.151,49662,137.110.0.69,443,17,3596,2860,10,10
1610266221,192.168.1.168,5353,224.0.0.251,5353,17,106,0,1,0
1610266221,FE80::1853:B8CD:DF48:9FE8,5353,FF02::FB,5353,17,126,0,1,0
1610266222,192.168.1.151,49662,137.110.0.69,443,17,42616,990975,375,736
1610266223,192.168.1.151,49662,137.110.0.69,443,17,901,2811,6,6
1610266223,192.168.1.1,5353,224.0.0.251,5353,17,82,0,1,0
1610266224,192.168.1.151,49662,137.110.0.69,443,17,671,1958,6,5
1610266224,192.168.1.1,5353,224.0.0.251,5353,17,633,0,5,0
1610266225,192.168.1.151,49662,137.110.0.69,443,17,424,2428,4,5
1610266225,192.168.1.1,5353,224.0.0.251,5353,17,242,0,1,0
1610266226,192.168.1.151,49662,137.110.0.69,443,17,52688,1411690,470,1042
1610266227,192.168.1.151,49662,137.110.0.69,443,17,106,469,1,1
1610266227,192.168.1.1,5353,224.0.0.251,5353,17,242,0,1,0
1610266228,192.168.1.151,49662,137.110.0.69,443,17,6700,5286,16,17
1610266229,192.168.1.151,49662,137.110.0.69,443,17,849,4077,8,9
1610266229,192.168.1.1,5353,224.0.0.251,5353,17,164,0,2,0
1610266230,192.168.1.151,49662,137.110.0.69,443,17,50861,1173716,410,875
1610266230,192.168.1.1,5353,224.0.0.251,5353,17,309,0,3,0
1610266230,192.168.1.23,5353,224.0.0.251,5353,17,167,0,1,0
1610266230,FE80::CC6:78D5:61AC:C15D,5353,FF02::FB,5353,17,187,0,1,0
1610266230,192.168.1.1,0,224.0.0.251,0,2,28,0,1,0
1610266231,192.168.1.151,49662,137.110.0.69,443,17,5230,9327,16,22
1610266231,192.168.1.23,5353,224.0.0.251,5353,17,167,0,1,0
1610266231,FE80::CC6:78D5:61AC:C15D,5353,FF02::FB,5353,17,187,0,1,0
1610266231,192.168.1.1,5353,224.0.0.251,5353,17,242,0,1,0
1610266232,192.168.1.151,49662,137.110.0.69,443,17,11603,2086,16,12
1610266233,192.168.1.151,49662,137.110.0.69,443,17,6075,3400,12,11
1610266233,192.168.1.1,5353,224.0.0.251,5353,17,242,0,1,0
1610266233,192.168.1.151,52738,137.110.0.69,443,6,154,0,2,0
1610266234,192.168.1.151,52738,137.110.0.69,443,6,40,157,1,3
1610266234,192.168.1.23,5353,224.0.0.251,5353,17,167,0,1,0
1610266234,FE80::CC6:78D5:61AC:C15D,5353,FF02::FB,5353,17,187,0,1,0
1610266234,192.168.1.151,49662,137.110.0.69,443,17,49612,1412012,441,1039
1610266235,192.168.1.151,49662,137.110.0.69,443,17,5110,6447,17,20
1610266236,192.168.1.151,49662,137.110.0.69,443,17,7350,3711,13,10
1610266237,192.168.1.151,49662,137.110.0.69,443,17,1776,2000,6,7
1610266237,192.168.1.1,5353,224.0.0.251,5353,17,242,0,1,0
1610266238,192.168.1.151,49662,137.110.0.69,443,17,62152,1442009,539,1065
1610266239,192.168.1.151,49662,137.110.0.69,443,17,836,4558,5,8
1610266240,192.168.1.151,49662,137.110.0.69,443,17,1644,4201,11,15
1610266241,192.168.1.151,49662,137.110.0.69,443,17,47505,1317271,421,970
1610266242,192.168.1.151,49662,137.110.0.69,443,17,330,971,3,2
1610266243,192.168.1.151,49662,137.110.0.69,443,17,371,0,1,0
1610266244,192.168.1.151,49662,137.110.0.69,443,17,3439,2224,8,9
1610266245,192.168.1.151,49662,137.110.0.69,443,17,42215,1195068,347,887
1610266245,192.168.1.1,5353,224.0.0.251,5353,17,242,0,1,0
1610266246,192.168.1.151,49662,137.110.0.69,443,17,530,1670,5,6
1610266247,192.168.1.151,49662,137.110.0.69,443,17,4480,3344,11,12
1610266247,192.168.1.60,9999,255.255.255.255,9999,17,57,0,1,0
1610266248,192.168.1.151,49662,137.110.0.69,443,17,50953,1113292,432,828
1610266249,192.168.1.151,49662,137.110.0.69,443,17,2929,349,5,2
1610266250,192.168.1.151,49662,137.110.0.69,443,17,2576,2957,8,11
1610266251,192.168.1.151,49662,137.110.0.69,443,17,49527,1163693,429,865
1610266252,192.168.1.151,49662,137.110.0.69,443,17,531,2596,5,6
1610266253,192.168.1.151,49662,137.110.0.69,443,17,1007,2784,7,6
1610266254,192.168.1.151,49662,137.110.0.69,443,17,49276,1087752,414,809
1610266255,192.168.1.151,49662,137.110.0.69,443,17,636,2779,6,6
1610266256,192.168.1.151,49662,137.110.0.69,443,17,354,818,3,4
1610266257,192.168.1.151,49662,137.110.0.69,443,17,18488,471324,147,351
1610266257,192.168.1.1,0,224.0.0.1,0,2,28,0,1,0
1610266258,192.168.1.151,49662,137.110.0.69,443,17,34503,707405,323,520
1610266259,192.168.1.151,49662,137.110.0.69,443,17,7943,5908,21,24
1610266260,192.168.1.151,49662,137.110.0.69,443,17,1659,0,2,0
1610266261,192.168.1.151,49662,137.110.0.69,443,17,59974,1429896,539,1062
1610266261,192.168.1.1,5353,224.0.0.251,5353,17,242,0,1,0
1610266262,192.168.1.151,49662,137.110.0.69,443,17,2176,2620,10,15
1610266263,192.168.1.151,49662,137.110.0.69,443,17,5638,16160,18,23
1610266264,192.168.1.151,52738,137.110.0.69,443,6,77,40,1,1
1610266264,192.168.1.151,49662,137.110.0.69,443,17,26823,702107,226,519
1610266265,192.168.1.151,49662,137.110.0.69,443,17,16991,486999,160,359
1610266266,192.168.1.151,49662,137.110.0.69,443,17,318,300,3,2
1610266267,192.168.1.151,49662,137.110.0.69,443,17,46720,995015,386,742
1610266268,192.168.1.151,49662,137.110.0.69,443,17,583,1066,3,2
1610266269,192.168.1.151,49662,137.110.0.69,443,17,1312,4007,7,9
1610266270,192.168.1.151,49662,137.110.0.69,443,17,43955,947307,363,708
1610266271,192.168.1.151,49662,137.110.0.69,443,17,531,2441,5,6
1610266272,192.168.1.151,49662,137.110.0.69,443,17,4061,1332,7,4
1610266273,192.168.1.151,49662,137.110.0.69,443,17,31678,734022,280,549
1610266273,192.168.1.164,9999,255.255.255.255,9999,17,57,0,1,0
1610266274,192.168.1.151,49662,137.110.0.69,443,17,212,954,2,2
1610266275,192.168.1.151,49662,137.110.0.69,443,17,37165,853732,323,633
1610266276,192.168.1.151,49662,137.110.0.69,443,17,3580,1762,9,7
1610266277,192.168.1.151,49662,137.110.0.69,443,17,993,1639,5,7
1610266278,192.168.1.151,49662,137.110.0.69,443,17,43179,1189046,353,878
1610266279,192.168.1.208,5353,224.0.0.251,5353,17,167,0,1,0
1610266279,FE80::1818:D95:C0E6:EEC6,5353,FF02::FB,5353,17,187,0,1,0
1610266279,192.168.1.151,49662,137.110.0.69,443,17,212,1351,2,3
1610266280,192.168.1.151,49662,137.110.0.69,443,17,4215,42482,25,39
1610266280,192.168.1.208,5353,224.0.0.251,5353,17,167,0,1,0
1610266280,FE80::1818:D95:C0E6:EEC6,5353,FF02::FB,5353,17,187,0,1,0
1610266281,192.168.1.151,49662,137.110.0.69,443,17,71906,1078760,413,828
1610266282,192.168.1.151,49662,137.110.0.69,443,17,48465,925187,375,710
1610266283,192.168.1.151,49662,137.110.0.69,443,17,9375,117243,72,130
1610266283,192.168.1.208,5353,224.0.0.251,5353,17,167,0,1,0
1610266283,FE80::1818:D95:C0E6:EEC6,5353,FF02::FB,5353,17,187,0,1,0
1610266283,192.168.1.1,0,224.0.0.251,0,2,28,0,1,0
1610266283,FE80::1818:D95:C0E6:EEC6,0,FF02::16,0,0,76,0,1,0
1610266284,192.168.1.151,49662,137.110.0.69,443,17,8528,110144,65,112
1610266284,192.168.1.208,5353,224.0.0.251,5353,17,167,0,1,0
1610266284,FE80::1818:D95:C0E6:EEC6,5353,FF02::FB,5353,17,187,0,1,0
1610266285,192.168.1.151,49662,137.110.0.69,443,17,17961,159146,90,152
1610266286,192.168.1.151,49662,137.110.0.69,443,17,55557,1256694,509,950
1610266286,192.168.1.17,5353,224.0.0.251,5353,17,3302,0,15,0
1610266286,192.168.1.164,5353,224.0.0.251,5353,17,3370,0,15,0
1610266286,192.168.1.60,5353,224.0.0.251,5353,17,3300,0,16,0
1610266287,192.168.1.151,49662,137.110.0.69,443,17,33129,112730,89,127
1610266288,192.168.1.151,49662,137.110.0.69,443,17,14306,131394,81,141
1610266289,192.168.1.151,49662,137.110.0.69,443,17,12781,129638,76,134
1610266290,192.168.1.151,49662,137.110.0.69,443,17,62684,1317317,534,1002
1610266291,192.168.1.151,49662,137.110.0.69,443,17,20690,131537,96,149
1610266292,192.168.1.151,49662,137.110.0.69,443,17,10898,120525,71,127
1610266292,192.168.1.220,5353,224.0.0.251,5353,17,167,0,1,0
1610266292,FE80::14B8:3909:93C2:4F5C,5353,FF02::FB,5353,17,187,0,1,0
1610266292,FE80::14B8:3909:93C2:4F5C,0,FF02::16,0,0,76,0,1,0
1610266293,192.168.1.151,49662,137.110.0.69,443,17,67028,1345948,557,1028
1610266293,192.168.1.220,0,224.0.0.251,0,2,32,0,1,0
1610266293,192.168.1.1,0,224.0.0.251,0,2,28,0,1,0
1610266293,192.168.1.220,5353,224.0.0.251,5353,17,167,0,1,0
1610266293,FE80::14B8:3909:93C2:4F5C,5353,FF02::FB,5353,17,187,0,1,0
1610266293,192.168.1.1,5353,224.0.0.251,5353,17,242,0,1,0
1610266294,192.168.1.151,52738,137.110.0.69,443,6,194,157,3,3
1610266294,192.168.1.220,0,224.0.0.251,0,2,32,0,1,0
1610266294,192.168.1.151,49662,137.110.0.69,443,17,7696,100011,59,108
1610266295,192.168.1.151,49662,137.110.0.69,443,17,10628,123494,73,130
1610266295,FE80::14B8:3909:93C2:4F5C,0,FF02::16,0,0,76,0,1,0
1610266296,192.168.1.151,49662,137.110.0.69,443,17,17447,128719,81,135
1610266296,192.168.1.220,5353,224.0.0.251,5353,17,167,0,1,0
1610266296,FE80::14B8:3909:93C2:4F5C,5353,FF02::FB,5353,17,187,0,1,0
1610266297,192.168.1.151,49662,137.110.0.69,443,17,55376,1273302,444,965
1610266298,192.168.1.151,49662,137.110.0.69,443,17,6413,99210,58,104
1610266298,FE80::5AEF:68FF:FE42:A0DA,0,FF02::1,0,58,152,0,1,0
1610266299,192.168.1.151,49662,137.110.0.69,443,17,11171,124207,74,131
