Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1614134956,192.168.1.75,57099,239.255.255.250,1900,17,155,0,1,0,1614134956136;,155;,1;
1614134956,192.168.1.85,49154,255.255.255.255,6667,17,216,0,1,0,1614134956184;,216;,1;
1614134956,192.168.1.120,4500,45.155.40.3,4500,17,9536,60832,42,58,1614134956434;1614134956474;1614134956474;1614134956670;1614134956670;1614134956684;1614134956684;1614134956685;1614134956699;1614134956699;1614134956700;1614134956744;1614134956744;1614134956763;1614134956763;1614134956763;1614134956765;1614134956765;1614134956780;1614134956780;1614134956780;1614134956781;1614134956807;1614134956827;1614134956827;1614134956828;1614134956831;1614134956841;1614134956844;1614134956845;1614134956846;1614134956847;1614134956855;1614134956859;1614134956859;1614134956865;1614134956865;1614134956865;1614134956865;1614134956865;1614134956865;1614134956865;1614134956865;1614134956865;1614134956865;1614134956865;1614134956865;1614134956865;1614134956865;1614134956865;1614134956865;1614134956865;1614134956865;1614134956866;1614134956866;1614134956877;1614134956877;1614134956877;1614134956877;1614134956877;1614134956877;1614134956877;1614134956877;1614134956879;1614134956879;1614134956879;1614134956879;1614134956879;1614134956879;1614134956879;1614134956879;1614134956879;1614134956879;1614134956881;1614134956881;1614134956881;1614134956881;1614134956881;1614134956881;1614134956881;1614134956883;1614134956883;1614134956883;1614134956883;1614134956883;1614134956883;1614134956883;1614134956883;1614134956883;1614134956889;1614134956889;1614134956889;1614134956889;1614134956889;1614134956889;1614134956890;1614134956890;1614134956890;1614134956890;1614134956890;,176;176;128;128;128;608;608;144;128;128;640;1344;192;1456;336;160;256;1296;720;176;128;128;128;464;848;144;640;128;288;128;176;560;128;128;128;1360;352;1360;1360;1360;1360;1360;1360;1360;1360;1360;128;128;128;128;128;128;128;128;128;1360;1360;1360;1360;1360;128;128;128;1360;1360;1360;1360;1360;128;128;128;128;128;1360;1360;1360;1360;1360;128;128;1360;1360;1360;1360;1360;1360;1360;128;128;1360;1360;1360;1360;1360;1360;1360;832;128;128;128;,1;2;1;1;1;2;2;1;2;1;1;1;1;2;2;2;1;1;2;2;2;1;1;2;2;1;1;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;2;1;2;2;2;2;2;1;1;1;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;1;1;1;
1614134956,192.168.1.120,54357,192.168.1.157,8009,6,468,9603,9,10,1614134956556;1614134956557;1614134956659;1614134956659;1614134956663;1614134956663;1614134956667;1614134956667;1614134956671;1614134956671;1614134956692;1614134956692;1614134956729;1614134956729;1614134956729;1614134956796;1614134956796;1614134956827;1614134956828;,423;52;1134;52;1112;52;1109;52;1151;52;1151;52;1500;479;52;418;52;1126;52;,2;1;2;1;2;1;2;1;2;1;2;1;2;2;1;2;1;2;1;
1614134957,192.168.1.157,5353,224.0.0.251,5353,17,1404,0,4,0,1614134957721;1614134957722;1614134957722;1614134957723;,206;431;513;254;,1;1;1;1;
1614134957,192.168.1.120,4500,45.155.40.3,4500,17,1104,560,4,4,1614134957903;1614134957923;1614134957950;1614134957952;1614134957952;1614134957952;1614134957978;1614134957990;,704;128;128;176;128;144;128;128;,1;2;1;2;2;1;1;2;
1614134957,192.168.1.120,54357,192.168.1.157,8009,6,52,422,1,1,1614134957911;1614134957911;,422;52;,2;1;
1614134958,192.168.1.120,4500,45.155.40.3,4500,17,304,272,2,2,1614134958226;1614134958329;1614134958348;1614134958657;,192;112;128;144;,1;1;2;2;
1614134958,2600:1700:7C00:6220::1,53,2600:1700:7C00:6220:84D1:707:8B47:1C2E,62472,17,183,108,1,1,1614134958857;1614134958867;,108;183;,2;1;
1614134958,2600:1700:7C00:6220::1,53,2600:1700:7C00:6220:84D1:707:8B47:1C2E,64341,17,183,108,1,1,1614134958857;1614134958867;,108;183;,2;1;
1614134958,192.168.1.157,5353,224.0.0.251,5353,17,1404,0,4,0,1614134958949;1614134958950;1614134958951;1614134958951;,206;431;513;254;,1;1;1;1;
