Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1614056288,192.168.1.151,58016,137.110.0.69,443,17,4295,2016,37,18,1614056288002;1614056288496;1614056288496;1614056288500;1614056288504;1614056288504;1614056288505;1614056288526;1614056288526;1614056288526;1614056288527;1614056288527;1614056288527;1614056288527;1614056288527;1614056288527;1614056288533;1614056288533;1614056288533;1614056288534;1614056288535;1614056288535;1614056288535;1614056288535;1614056288535;1614056288551;1614056288552;1614056288553;1614056288553;1614056288553;1614056288553;1614056288558;1614056288559;1614056288559;1614056288563;1614056288563;1614056288563;1614056288564;1614056288564;1614056288564;1614056288583;1614056288583;1614056288583;1614056288585;1614056288585;1614056288585;1614056288585;1614056288585;1614056288585;1614056288610;1614056288610;1614056288610;1614056288611;1614056288611;1614056288611;,371;118;118;118;118;118;118;118;118;118;106;106;106;106;106;106;118;118;118;106;106;106;106;106;106;106;106;106;106;106;106;118;118;118;106;106;106;106;106;106;118;118;118;106;106;106;106;106;106;106;106;106;106;106;106;,1;1;1;1;1;1;1;2;2;2;1;1;1;1;1;1;2;2;2;1;1;1;1;1;1;2;1;2;2;1;1;1;1;1;2;2;2;1;1;1;2;2;2;1;1;1;1;1;1;2;2;2;1;1;1;
1614056288,192.168.1.32,56465,239.255.255.250,1900,17,198,0,1,0,1614056288252;,198;,1;
1614056289,192.168.1.32,56465,239.255.255.250,1900,17,198,0,1,0,1614056289254;,198;,1;
1614056290,192.168.1.32,56465,239.255.255.250,1900,17,198,0,1,0,1614056290257;,198;,1;
