Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts
1610344485,192.168.1.151,55621,137.110.0.69,443,17,7906,1678,11,9
1610344485,192.168.1.164,0,239.255.255.250,0,2,32,0,1,0
1610344487,192.168.1.151,55621,137.110.0.69,443,17,665,2180,3,2
1610344487,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610344487,192.168.1.1,5353,224.0.0.251,5353,17,267,0,3,0
1610344488,192.168.1.1,5353,224.0.0.251,5353,17,448,0,3,0
1610344488,192.168.1.151,55621,137.110.0.69,443,17,60020,1647934,551,1210
1610344489,192.168.1.151,55621,137.110.0.69,443,17,64907,706222,612,517
1610344489,192.168.1.95,5353,224.0.0.251,5353,17,69,0,1,0
1610344489,192.168.1.1,5353,224.0.0.251,5353,17,108,0,1,0
1610344490,192.168.1.151,55621,137.110.0.69,443,17,459,349,4,3
1610344491,192.168.1.151,60545,137.110.0.69,443,6,77,40,1,1
1610344491,192.168.1.60,0,239.255.255.250,0,2,32,0,1,0
1610344491,192.168.1.1,5353,224.0.0.251,5353,17,226,0,1,0
1610344492,192.168.1.151,55621,137.110.0.69,443,17,1066,1030,6,7
1610344493,192.168.1.151,55621,137.110.0.69,443,17,106,288,1,1
1610344494,192.168.1.151,55621,137.110.0.69,443,17,7024,105557,53,87
1610344494,192.168.1.164,0,239.255.255.250,0,2,32,0,1,0
1610344495,192.168.1.1,5353,224.0.0.251,5353,17,242,0,1,0
1610344496,192.168.1.60,9999,255.255.255.255,9999,17,57,0,1,0
1610344496,192.168.1.151,55621,137.110.0.69,443,17,593,1594,4,7
1610344497,192.168.1.151,55621,137.110.0.69,443,17,584,224,3,2
1610344497,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610344498,192.168.1.164,0,239.255.255.250,0,2,32,0,1,0
1610344498,192.168.1.151,55621,137.110.0.69,443,17,60416,1645525,569,1206
1610344499,192.168.1.151,55621,137.110.0.69,443,17,106424,1610354,910,1187
1610344500,192.168.1.151,55621,137.110.0.69,443,17,271,154,2,1
1610344501,192.168.1.151,55621,137.110.0.69,443,17,106,298,1,1
1610344502,192.168.1.151,55621,137.110.0.69,443,17,371,0,1,0
1610344503,192.168.1.151,55621,137.110.0.69,443,17,136,106,1,1
1610344503,192.168.1.1,5353,224.0.0.251,5353,17,242,0,1,0
1610344504,192.168.1.151,55621,137.110.0.69,443,17,888,1150,4,6
1610344505,192.168.1.151,55621,137.110.0.69,443,17,2448,1315,6,8
1610344506,192.168.1.151,55621,137.110.0.69,443,17,2351,2954,9,11
1610344506,192.168.1.60,0,239.255.255.250,0,2,32,0,1,0
1610344507,192.168.1.151,55621,137.110.0.69,443,17,371,0,1,0
