Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1613358512,192.168.1.214,62816,137.110.0.69,443,17,4446,24119,39,44,1613358512019;1613358512019;1613358512019;1613358512019;1613358512019;1613358512019;1613358512019;1613358512020;1613358512020;1613358512020;1613358512020;1613358512020;1613358512020;1613358512020;1613358512021;1613358512021;1613358512021;1613358512021;1613358512022;1613358512048;1613358512048;1613358512048;1613358512049;1613358512049;1613358512049;1613358512268;1613358512268;1613358512268;1613358512268;1613358512269;1613358512269;1613358512269;1613358512269;1613358512269;1613358512269;1613358512269;1613358512270;1613358512270;1613358512270;1613358512270;1613358512271;1613358512271;1613358512271;1613358512272;1613358512288;1613358512329;1613358512521;1613358512521;1613358512521;1613358512521;1613358512521;1613358512521;1613358512521;1613358512521;1613358512521;1613358512521;1613358512522;1613358512522;1613358512522;1613358512523;1613358512523;1613358512523;1613358512524;1613358512524;1613358512524;1613358512771;1613358512771;1613358512771;1613358512771;1613358512772;1613358512772;1613358512772;1613358512772;1613358512772;1613358512772;1613358512772;1613358512772;1613358512773;1613358512773;1613358512773;1613358512773;1613358512773;1613358512773;,885;142;142;142;142;142;880;874;970;889;118;106;118;126;134;126;118;106;106;880;874;970;118;118;118;842;142;142;142;866;142;864;142;864;873;118;106;118;106;118;106;118;106;106;916;106;142;142;881;142;142;877;142;872;929;865;118;106;118;126;118;126;118;106;106;142;142;900;142;900;142;833;893;142;882;118;106;118;106;118;106;106;106;,2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;
1613358512,192.168.1.107,5353,224.0.0.251,5353,17,122,0,1,0,1613358512517;,122;,1;
1613358512,192.168.1.157,5353,224.0.0.251,5353,17,407,0,1,0,1613358512620;,407;,1;
1613358512,192.168.1.10,5353,224.0.0.251,5353,17,871,0,1,0,1613358512623;,871;,1;
1613358512,FE80::217:88FF:FE79:5FC7,5353,FF02::FB,5353,17,891,0,1,0,1613358512623;,891;,1;
1613358513,192.168.1.214,62816,137.110.0.69,443,17,4336,22111,38,42,1613358513022;1613358513022;1613358513022;1613358513022;1613358513022;1613358513022;1613358513022;1613358513022;1613358513022;1613358513022;1613358513023;1613358513023;1613358513023;1613358513023;1613358513024;1613358513024;1613358513024;1613358513024;1613358513024;1613358513044;1613358513088;1613358513272;1613358513272;1613358513272;1613358513272;1613358513272;1613358513272;1613358513272;1613358513272;1613358513272;1613358513272;1613358513274;1613358513274;1613358513274;1613358513274;1613358513274;1613358513275;1613358513275;1613358513275;1613358513275;1613358513525;1613358513525;1613358513525;1613358513525;1613358513525;1613358513525;1613358513525;1613358513525;1613358513525;1613358513525;1613358513526;1613358513526;1613358513526;1613358513526;1613358513527;1613358513527;1613358513527;1613358513527;1613358513527;1613358513549;1613358513609;1613358513773;1613358513773;1613358513773;1613358513773;1613358513773;1613358513773;1613358513773;1613358513773;1613358513773;1613358513773;1613358513774;1613358513774;1613358513775;1613358513775;1613358513775;1613358513775;1613358513775;1613358513776;1613358513776;,869;895;1052;142;142;142;849;142;142;795;118;126;134;126;118;106;118;106;106;860;106;838;842;142;142;142;142;142;848;866;875;118;126;118;106;118;126;118;106;106;142;142;869;142;872;142;841;142;873;913;118;106;118;106;118;106;118;106;106;917;106;861;884;142;142;142;142;873;142;907;872;118;126;118;106;118;106;118;106;106;,2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;
1613358513,192.168.1.107,5353,224.0.0.251,5353,17,122,0,1,0,1613358513746;,122;,1;
1613358514,192.168.1.214,62816,137.110.0.69,443,17,4336,22649,38,42,1613358514025;1613358514025;1613358514025;1613358514025;1613358514025;1613358514025;1613358514025;1613358514025;1613358514025;1613358514026;1613358514026;1613358514026;1613358514027;1613358514027;1613358514027;1613358514027;1613358514027;1613358514027;1613358514028;1613358514275;1613358514275;1613358514275;1613358514275;1613358514275;1613358514275;1613358514275;1613358514275;1613358514275;1613358514275;1613358514276;1613358514277;1613358514277;1613358514277;1613358514277;1613358514278;1613358514278;1613358514278;1613358514278;1613358514296;1613358514348;1613358514525;1613358514525;1613358514525;1613358514525;1613358514525;1613358514525;1613358514525;1613358514525;1613358514525;1613358514525;1613358514526;1613358514527;1613358514527;1613358514527;1613358514527;1613358514527;1613358514527;1613358514528;1613358514528;1613358514776;1613358514776;1613358514776;1613358514776;1613358514776;1613358514776;1613358514776;1613358514776;1613358514776;1613358514776;1613358514776;1613358514776;1613358514776;1613358514776;1613358514777;1613358514777;1613358514777;1613358514777;1613358514777;1613358514795;1613358514839;,142;142;918;142;975;142;821;142;851;885;118;106;118;106;118;106;118;106;106;142;142;142;1006;142;142;848;816;830;920;118;126;118;126;134;126;118;106;106;1246;106;719;142;748;142;142;142;142;815;855;843;118;106;118;106;118;126;118;106;106;869;142;888;142;142;142;142;914;882;920;118;106;118;106;118;126;118;106;106;1240;106;,2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;1;
1613358514,192.168.1.107,5353,224.0.0.251,5353,17,122,0,1,0,1613358514770;,122;,1;
1613358514,192.168.1.157,5353,224.0.0.251,5353,17,407,0,1,0,1613358514883;,407;,1;
