Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts
1610393091,192.168.1.63,49408,239.255.255.250,1900,17,202,0,1,0
1610393092,192.168.1.151,53644,137.110.0.69,443,17,1158,1489,5,8
1610393092,192.168.1.63,49408,239.255.255.250,1900,17,202,0,1,0
1610393093,192.168.1.151,53644,137.110.0.69,443,17,476,264,2,2
1610393093,192.168.1.63,49408,239.255.255.250,1900,17,202,0,1,0
1610393094,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610393094,192.168.1.151,53644,137.110.0.69,443,17,0,158,0,1
1610393095,192.168.1.151,53644,137.110.0.69,443,17,65657,1823610,618,1335
1610393096,192.168.1.151,53644,137.110.0.69,443,17,87492,2078579,795,1525
1610393096,192.168.1.200,0,239.255.255.250,0,2,32,0,1,0
1610393097,192.168.1.151,53644,137.110.0.69,443,17,782,1480,7,10
1610393097,192.168.1.95,0,239.255.255.250,0,2,32,0,1,0
1610393098,192.168.1.151,53644,137.110.0.69,443,17,1666,711,4,2
1610393099,192.168.1.151,53644,137.110.0.69,443,17,536,525,3,3
1610393100,192.168.1.151,53644,137.110.0.69,443,17,3660,21746,25,29
1610393101,192.168.1.151,53644,137.110.0.69,443,17,4348,2747,10,16
1610393101,192.168.1.219,60939,239.255.255.250,1900,17,459,0,3,0
1610393102,192.168.1.151,53644,137.110.0.69,443,17,1381,10544,10,19
1610393103,192.168.1.151,53644,137.110.0.69,443,17,11151,129286,67,124
1610393103,192.168.1.23,5353,224.0.0.251,5353,17,140,0,1,0
1610393103,FE80::CC6:78D5:61AC:C15D,5353,FF02::FB,5353,17,160,0,1,0
1610393103,192.168.1.1,0,239.255.255.250,0,2,28,0,1,0
1610393103,192.168.1.23,0,224.0.0.251,0,2,32,0,1,0
1610393103,192.168.1.1,0,224.0.0.251,0,2,28,0,1,0
1610393104,192.168.1.151,53644,137.110.0.69,443,17,2854,33352,20,35
1610393104,192.168.1.23,5353,224.0.0.251,5353,17,414,0,3,0
1610393104,FE80::CC6:78D5:61AC:C15D,5353,FF02::FB,5353,17,474,0,3,0
1610393104,192.168.1.63,0,224.0.0.251,0,2,32,0,1,0
1610393104,192.168.1.200,0,239.255.255.250,0,2,32,0,1,0
1610393105,192.168.1.151,53644,137.110.0.69,443,17,66413,1775388,624,1307
1610393106,192.168.1.151,53644,137.110.0.69,443,17,37233,874810,349,643
1610393107,192.168.1.151,53644,137.110.0.69,443,17,2858,50753,24,45
1610393107,192.168.1.23,5353,224.0.0.251,5353,17,217,0,1,0
1610393107,FE80::CC6:78D5:61AC:C15D,5353,FF02::FB,5353,17,237,0,1,0
1610393108,192.168.1.151,53644,137.110.0.69,443,17,2535,25839,17,27
1610393108,192.168.1.95,138,192.168.1.255,138,17,242,0,1,0
1610393108,192.168.1.95,137,192.168.1.255,137,17,78,0,1,0
